Date,Open,High,Low,Close
2014/05/29,1910.59998,1920.03003,1909.81995,1920.03003
2014/05/28,1911.77002,1914.45996,1907.30005,1909.78003
2014/05/27,1902.01001,1912.28003,1902.01001,1911.91003
2014/05/23,1893.31995,1901.26001,1893.31995,1900.53003
2014/05/22,1888.18994,1896.32996,1885.39001,1892.48999
2014/05/21,1873.33997,1888.80005,1873.33997,1888.03003
2014/05/20,1884.88,1884.88,1868.14001,1872.82996
2014/05/19,1876.66003,1886,1872.42004,1885.07996
2014/05/16,1871.18994,1878.28003,1864.81995,1877.85999
2014/05/15,1888.16003,1888.16003,1862.35999,1870.84998
2014/05/14,1897.13,1897.13,1885.77002,1888.53003
2014/05/13,1896.75,1902.17004,1896.06006,1897.44995
2014/05/12,1880.03003,1897.13,1880.03003,1896.65002
2014/05/09,1875.27002,1878.56995,1867.02002,1878.47998
2014/05/08,1877.39001,1889.06995,1870.05005,1875.63
2014/05/07,1868.53003,1878.82996,1859.79004,1878.20996
2014/05/06,1883.68994,1883.68994,1867.71997,1867.71997
2014/05/05,1879.44995,1885.51001,1866.77002,1884.66003
2014/05/02,1885.30005,1891.32996,1878.5,1881.14001
2014/05/01,1884.39001,1888.58997,1878.04004,1883.68005
2014/04/30,1877.09998,1885.19995,1872.68994,1883.94995
2014/04/29,1870.78003,1880.59998,1870.78003,1878.32996
2014/04/28,1865,1877.01001,1850.60999,1869.43005
2014/04/25,1877.71997,1877.71997,1859.69995,1863.40002
2014/04/24,1881.96997,1884.06006,1870.23999,1878.60999
2014/04/23,1879.31995,1879.75,1873.91003,1875.39001
2014/04/22,1872.56995,1884.89001,1872.56995,1879.55005
2014/04/21,1865.79004,1871.89001,1863.18005,1871.89001
2014/04/17,1861.72998,1869.63,1856.71997,1864.84998
2014/04/16,1846.01001,1862.31006,1846.01001,1862.31006
2014/04/15,1831.44995,1844.02002,1816.29004,1842.97998
2014/04/14,1818.18005,1834.18994,1815.80005,1830.60999
2014/04/11,1830.65002,1835.06995,1814.35999,1815.68994
2014/04/10,1872.28003,1872.53003,1830.87,1833.07996
2014/04/09,1852.64001,1872.43005,1852.38,1872.18005
2014/04/08,1845.47998,1854.94995,1837.48999,1851.95996
2014/04/07,1863.92004,1864.04004,1841.47998,1845.04004
2014/04/04,1890.25,1897.28003,1863.26001,1865.08997
2014/04/03,1891.43005,1893.80005,1882.65002,1888.77002
2014/04/02,1886.60999,1893.17004,1883.79004,1890.90002
2014/04/01,1873.95996,1885.83997,1873.95996,1885.52002
2014/03/31,1859.16003,1875.18005,1859.16003,1872.33997
2014/03/28,1850.06995,1866.63,1850.06995,1857.62
2014/03/27,1852.10999,1855.55005,1842.10999,1849.04004
2014/03/26,1867.08997,1875.92004,1852.56006,1852.56006
2014/03/25,1859.47998,1871.87,1855.95996,1865.62
2014/03/24,1867.67004,1873.33997,1849.68994,1857.43994
2014/03/21,1874.53003,1883.96997,1863.45996,1866.52002
2014/03/20,1860.08997,1873.48999,1854.63,1872.01001
2014/03/19,1872.25,1874.14001,1850.34998,1860.77002
2014/03/18,1858.92004,1873.76001,1858.92004,1872.25
2014/03/17,1842.81006,1862.30005,1842.81006,1858.82996
2014/03/14,1845.06995,1852.43994,1839.56995,1841.13
2014/03/13,1869.06006,1874.40002,1841.85999,1846.33997
2014/03/12,1866.15002,1868.38,1854.38,1868.19995
2014/03/11,1878.26001,1882.34998,1863.88,1867.63
2014/03/10,1877.85999,1877.87,1867.04004,1877.17004
2014/03/07,1878.52002,1883.56995,1870.56006,1878.04004
2014/03/06,1874.18005,1881.93994,1874.18005,1877.03003
2014/03/05,1874.05005,1876.53003,1871.10999,1873.81006
2014/03/04,1849.22998,1876.22998,1849.22998,1873.91003
2014/03/03,1857.68005,1857.68005,1834.43994,1845.72998
2014/02/28,1855.12,1867.92004,1847.67004,1859.44995
2014/02/27,1844.90002,1854.53003,1841.13,1854.29004
2014/02/26,1845.79004,1852.65002,1840.66003,1845.16003
2014/02/25,1847.66003,1852.91003,1840.18994,1845.12
2014/02/24,1836.78003,1858.70996,1836.78003,1847.60999
2014/02/21,1841.06995,1846.13,1835.59998,1836.25
2014/02/20,1829.23999,1842.79004,1824.57996,1839.78003
2014/02/19,1838.90002,1847.5,1826.98999,1828.75
2014/02/18,1839.03003,1842.87,1835.01001,1840.76001
2014/02/14,1828.45996,1841.65002,1825.58997,1838.63
2014/02/13,1814.81995,1830.25,1809.21997,1829.82996
2014/02/12,1820.12,1826.55005,1815.96997,1819.26001
2014/02/11,1800.44995,1823.54004,1800.41003,1819.75
2014/02/10,1796.19995,1799.93994,1791.82996,1799.83997
2014/02/07,1776.01001,1798.03003,1776.01001,1797.02002
2014/02/06,1752.98999,1774.06006,1752.98999,1773.43005
2014/02/05,1753.38,1755.79004,1737.92004,1751.64001
2014/02/04,1743.81995,1758.72998,1743.81995,1755.19995
2014/02/03,1782.68005,1784.82996,1739.66003,1741.89001
2014/01/31,1790.88,1793.88,1772.26001,1782.58997
2014/01/30,1777.17004,1798.77002,1777.17004,1794.18994
2014/01/29,1790.15002,1790.15002,1770.44995,1774.19995
2014/01/28,1783,1793.87,1779.48999,1792.5
2014/01/27,1791.03003,1795.97998,1772.88,1781.56006
2014/01/24,1826.95996,1826.95996,1790.29004,1790.29004
2014/01/23,1842.29004,1842.29004,1820.06006,1828.45996
2014/01/22,1844.70996,1846.87,1840.88,1844.85999
2014/01/21,1841.05005,1849.31006,1832.38,1843.80005
2014/01/17,1844.22998,1846.04004,1835.22998,1838.69995
2014/01/16,1847.98999,1847.98999,1840.30005,1845.89001
2014/01/15,1840.52002,1850.83997,1840.52002,1848.38
2014/01/14,1821.35999,1839.26001,1821.35999,1838.88
2014/01/13,1841.26001,1843.44995,1815.52002,1819.19995
2014/01/10,1840.06006,1843.15002,1832.43005,1842.37
2014/01/09,1839,1843.22998,1830.38,1838.13
2014/01/08,1837.90002,1840.02002,1831.40002,1837.48999
2014/01/07,1828.70996,1840.09998,1828.70996,1837.88
2014/01/06,1832.31006,1837.16003,1823.72998,1826.77002
2014/01/03,1833.20996,1838.23999,1829.13,1831.37
2014/01/02,1845.85999,1845.85999,1827.73999,1831.97998
2013/12/31,1842.60999,1849.43994,1842.41003,1848.35999
2013/12/30,1841.46997,1842.46997,1838.77002,1841.06995
2013/12/27,1842.96997,1844.89001,1839.81006,1841.40002
2013/12/26,1834.95996,1842.83997,1834.95996,1842.02002
2013/12/24,1828.02002,1833.31995,1828.02002,1833.31995
2013/12/23,1822.92004,1829.75,1822.92004,1827.98999
2013/12/20,1810.39001,1823.75,1810.25,1818.31995
2013/12/19,1809,1810.88,1801.34998,1809.59998
2013/12/18,1781.45996,1811.07996,1767.98999,1810.65002
2013/12/17,1786.46997,1786.77002,1777.05005,1781
2013/12/16,1777.47998,1792.21997,1777.47998,1786.54004
2013/12/13,1777.97998,1780.92004,1772.44995,1775.31995
2013/12/12,1781.70996,1782.98999,1772.28003,1775.5
2013/12/11,1802.76001,1802.96997,1780.08997,1782.21997
2013/12/10,1807.59998,1808.52002,1801.75,1802.62
2013/12/09,1806.20996,1811.52002,1806.20996,1808.37
2013/12/06,1788.35999,1806.04004,1788.35999,1805.08997
2013/12/05,1792.81995,1792.81995,1783.38,1785.03003
2013/12/04,1793.15002,1799.80005,1779.08997,1792.81006
2013/12/03,1800.09998,1800.09998,1787.84998,1795.15002
2013/12/02,1806.55005,1810.02002,1798.59998,1800.90002
2013/11/29,1808.68994,1813.55005,1803.97998,1805.81006
2013/11/27,1803.47998,1808.27002,1802.77002,1807.22998
2013/11/26,1802.87,1808.42004,1800.77002,1802.75
2013/11/25,1806.32996,1808.09998,1800.57996,1802.47998
2013/11/22,1797.20996,1804.83997,1794.69995,1804.76001
2013/11/21,1783.52002,1797.16003,1783.52002,1795.84998
2013/11/20,1789.58997,1795.72998,1777.22998,1781.37
2013/11/19,1790.79004,1795.51001,1784.71997,1787.87
2013/11/18,1798.81995,1802.32996,1788,1791.53003
2013/11/15,1790.66003,1798.21997,1790.66003,1798.18005
2013/11/14,1782.75,1791.53003,1780.21997,1790.62
2013/11/13,1764.37,1782,1760.64001,1782
2013/11/12,1769.51001,1771.78003,1762.29004,1767.68994
2013/11/11,1769.95996,1773.43994,1767.84998,1771.89001
2013/11/08,1748.37,1770.78003,1747.63,1770.60999
2013/11/07,1770.73999,1774.54004,1746.19995,1747.15002
2013/11/06,1765,1773.73999,1764.40002,1770.48999
2013/11/05,1765.67004,1767.03003,1755.76001,1762.96997
2013/11/04,1763.40002,1768.78003,1761.56006,1767.93005
2013/11/01,1758.69995,1765.67004,1752.69995,1761.64001
2013/10/31,1763.23999,1768.53003,1755.71997,1756.54004
2013/10/30,1772.27002,1775.21997,1757.23999,1763.31006
2013/10/29,1762.93005,1772.08997,1762.93005,1771.94995
2013/10/28,1759.42004,1764.98999,1757.67004,1762.10999
2013/10/25,1756.01001,1759.81995,1752.44995,1759.77002
2013/10/24,1747.47998,1753.93994,1745.5,1752.06995
2013/10/23,1752.27002,1752.27002,1740.5,1746.38
2013/10/22,1746.47998,1759.32996,1746.47998,1754.67004
2013/10/21,1745.19995,1747.79004,1740.67004,1744.66003
2013/10/18,1736.71997,1745.31006,1735.73999,1744.5
2013/10/17,1720.17004,1733.44995,1714.12,1733.15002
2013/10/16,1700.48999,1721.76001,1700.48999,1721.54004
2013/10/15,1709.17004,1711.56995,1695.93005,1698.06006
2013/10/14,1699.85999,1711.03003,1692.13,1710.14001
2013/10/11,1691.08997,1703.43994,1688.52002,1703.19995
2013/10/10,1660.88,1692.56006,1660.88,1692.56006
2013/10/09,1656.98999,1662.46997,1646.46997,1656.40002
2013/10/08,1676.21997,1676.79004,1655.03003,1655.44995
2013/10/07,1687.15002,1687.15002,1674.69995,1676.12
2013/10/04,1678.79004,1691.93994,1677.32996,1690.5
2013/10/03,1692.34998,1692.34998,1670.35999,1678.66003
2013/10/02,1691.90002,1693.87,1680.33997,1693.87
2013/10/01,1682.41003,1696.55005,1682.06995,1695
2013/09/30,1687.26001,1687.26001,1674.98999,1681.55005
2013/09/27,1695.52002,1695.52002,1687.10999,1691.75
2013/09/26,1694.05005,1703.84998,1693.10999,1698.67004
2013/09/25,1698.02002,1701.70996,1691.88,1692.77002
2013/09/24,1702.59998,1707.63,1694.90002,1697.42004
2013/09/23,1711.43994,1711.43994,1697.09998,1701.83997
2013/09/20,1722.43994,1725.22998,1708.89001,1709.91003
2013/09/19,1727.33997,1729.85999,1720.19995,1722.33997
2013/09/18,1705.73999,1729.43994,1700.34998,1725.52002
2013/09/17,1697.72998,1705.52002,1697.72998,1704.76001
2013/09/16,1691.69995,1704.94995,1691.69995,1697.59998
2013/09/13,1685.04004,1688.72998,1682.21997,1687.98999
2013/09/12,1689.20996,1689.96997,1681.95996,1683.42004
2013/09/11,1681.04004,1689.13,1678.69995,1689.13
2013/09/10,1675.10999,1684.08997,1675.10999,1683.98999
2013/09/09,1656.84998,1672.40002,1656.84998,1671.70996
2013/09/06,1657.43994,1664.82996,1640.62,1655.17004
2013/09/05,1653.28003,1659.17004,1653.06995,1655.07996
2013/09/04,1640.71997,1655.71997,1637.41003,1653.07996
2013/09/03,1635.94995,1651.34998,1633.41003,1639.77002
2013/08/30,1638.89001,1640.07996,1628.05005,1632.96997
2013/08/29,1633.5,1646.41003,1630.88,1638.17004
2013/08/28,1630.25,1641.18005,1627.46997,1634.95996
2013/08/27,1652.54004,1652.54004,1629.05005,1630.47998
2013/08/26,1664.29004,1669.51001,1656.02002,1656.78003
2013/08/23,1659.92004,1664.84998,1654.81006,1663.5
2013/08/22,1645.03003,1659.55005,1645.03003,1656.95996
2013/08/21,1650.66003,1656.98999,1639.43005,1642.80005
2013/08/20,1646.81006,1658.92004,1646.07996,1652.34998
2013/08/19,1655.25,1659.18005,1645.83997,1646.06006
2013/08/16,1661.21997,1663.59998,1652.60999,1655.82996
2013/08/15,1679.60999,1679.60999,1658.58997,1661.31995
2013/08/14,1693.88,1695.52002,1684.82996,1685.39001
2013/08/13,1690.65002,1696.81006,1682.62,1694.16003
2013/08/12,1688.37,1691.48999,1683.34998,1689.46997
2013/08/09,1696.09998,1699.42004,1686.02002,1691.42004
2013/08/08,1693.34998,1700.18005,1688.38,1697.47998
2013/08/07,1695.30005,1695.30005,1684.91003,1690.91003
2013/08/06,1705.79004,1705.79004,1693.29004,1697.37
2013/08/05,1708.01001,1709.23999,1703.55005,1707.14001
2013/08/02,1706.09998,1709.67004,1700.68005,1709.67004
2013/08/01,1689.42004,1707.84998,1689.42004,1706.87
2013/07/31,1687.76001,1698.43005,1684.93994,1685.72998
2013/07/30,1687.92004,1693.18994,1682.42004,1685.95996
2013/07/29,1690.31995,1690.92004,1681.85999,1685.32996
2013/07/26,1687.31006,1691.84998,1676.03003,1691.65002
2013/07/25,1685.20996,1690.93994,1680.06995,1690.25
2013/07/24,1696.06006,1698.38,1682.56995,1685.93994
2013/07/23,1696.63,1698.78003,1691.13,1692.39001
2013/07/22,1694.41003,1697.60999,1690.67004,1695.53003
2013/07/19,1686.15002,1692.08997,1684.07996,1692.08997
2013/07/18,1681.05005,1693.12,1681.05005,1689.37
2013/07/17,1677.91003,1684.75,1677.91003,1680.91003
2013/07/16,1682.69995,1683.72998,1671.83997,1676.26001
2013/07/15,1679.58997,1684.51001,1677.89001,1682.5
2013/07/12,1675.26001,1680.18994,1672.32996,1680.18994
2013/07/11,1657.41003,1676.63,1657.41003,1675.02002
2013/07/10,1651.56006,1657.92004,1647.66003,1652.62
2013/07/09,1642.89001,1654.18005,1642.89001,1652.31995
2013/07/08,1634.19995,1644.68005,1634.19995,1640.45996
2013/07/05,1618.65002,1632.06995,1614.70996,1631.89001
2013/07/03,1611.47998,1618.96997,1604.56995,1615.41003
2013/07/02,1614.29004,1624.26001,1606.77002,1614.07996
